post_id,content_type,content_category,caption_length,post_day_of_week,post_hour,post_day,post_month,post_year,follower_count,hashtag_count,has_call_to_action,like_count,comment_count,share_count,save_count,reach_count,impression_count,engagement_rate,performance_bucket_label,dataset,time_block,is_weekend
IG0000001,reel,Technology,100,Saturday,6,30,11,2024,3551,7,True,194,5,7,34,4327,6230,0.0385,medium,DS1,morning,True
IG0000002,image,Fitness,122,Friday,15,15,8,2025,31095,5,True,449,10,21,68,7451,8268,0.0663,viral,DS1,afternoon,False
IG0000003,reel,Beauty,115,Thursday,16,11,9,2025,8167,8,False,114,2,1,22,1639,2616,0.0531,high,DS1,afternoon,False
IG0000004,carousel,Music,115,Thursday,3,18,9,2025,9044,7,False,91,0,7,0,2877,3171,0.0309,medium,DS1,night,False
IG0000005,reel,Technology,112,Friday,9,21,3,2025,15986,9,False,154,8,5,21,5350,8503,0.0221,low,DS1,morning,False
IG0000006,carousel,Photography,111,Tuesday,8,6,5,2025,3551,5,True,149,3,4,23,2668,3472,0.0516,high,DS1,morning,False
IG0000007,carousel,Food,132,Sunday,9,21,9,2025,3447,8,True,371,9,14,54,5018,7671,0.0584,viral,DS1,morning,True
IG0000008,reel,Technology,118,Monday,18,6,1,2025,9044,8,False,18,1,0,3,1078,1357,0.0162,low,DS1,evening,False
IG0000009,reel,Beauty,112,Monday,5,13,10,2025,9044,7,False,132,4,7,17,1900,2436,0.0657,viral,DS1,night,False
IG0000010,reel,Music,114,Monday,11,10,3,2025,4972,6,False,101,2,3,12,2155,2942,0.0401,high,DS1,morning,False
IG0000011,reel,Fitness,110,Wednesday,10,9,4,2025,15986,6,False,418,11,21,60,14307,20978,0.0243,low,DS1,morning,False
IG0000012,carousel,Beauty,121,Saturday,14,3,5,2025,10018,8,True,49,6,2,3,762,1098,0.0546,high,DS1,afternoon,True
IG0000013,image,Beauty,116,Saturday,19,23,8,2025,22291,8,False,111,1,7,24,4364,6329,0.0226,low,DS1,evening,True
IG0000014,image,Food,123,Sunday,13,13,4,2025,13798,9,True,183,6,10,21,3997,6107,0.036,high,DS1,afternoon,True
IG0000015,reel,Lifestyle,124,Sunday,11,16,3,2025,10034,6,True,333,10,15,48,5240,6377,0.0637,viral,DS1,morning,True
IG0000016,reel,Music,123,Friday,18,6,12,2024,22291,8,True,271,8,13,47,5981,8127,0.0417,high,DS1,evening,False
IG0000017,image,Travel,133,Friday,20,11,7,2025,9461,8,False,138,1,4,18,4489,5263,0.0306,medium,DS1,evening,False
IG0000018,carousel,Beauty,119,Wednesday,11,8,1,2025,13798,14,False,261,5,16,35,6267,9464,0.0335,medium,DS1,morning,False
IG0000019,image,Lifestyle,107,Friday,6,20,6,2025,13798,4,False,120,9,5,24,8187,11264,0.014,low,DS1,morning,False
IG0000020,carousel,Travel,135,Friday,4,13,6,2025,15923,2,False,39,0,2,7,3345,4755,0.0101,low,DS1,night,False
IG0000021,image,Music,115,Tuesday,14,11,2,2025,4542,11,False,303,0,12,52,3950,5435,0.0675,viral,DS1,afternoon,False
IG0000022,reel,Fashion,129,Saturday,15,4,10,2025,9696,12,False,444,17,24,63,9965,13354,0.041,high,DS1,afternoon,True
IG0000023,carousel,Photography,103,Wednesday,10,26,2,2025,8167,6,False,1946,52,96,264,29461,45796,0.0515,high,DS1,morning,False
IG0000024,image,Lifestyle,111,Thursday,19,20,3,2025,8167,8,True,78,2,2,11,4093,6214,0.015,low,DS1,evening,False
IG0000025,carousel,Comedy,109,Thursday,16,8,5,2025,3447,8,True,68,2,2,7,3610,4454,0.0177,low,DS1,afternoon,False
IG0000026,carousel,Fashion,128,Tuesday,5,18,2,2025,13798,10,False,392,9,27,51,4994,6583,0.0728,viral,DS1,night,False
IG0000027,carousel,Photography,133,Friday,19,29,11,2024,31095,4,False,843,24,42,117,17491,26749,0.0384,medium,DS1,evening,False
IG0000028,carousel,Food,117,Sunday,21,19,10,2025,10018,6,False,170,5,8,29,4842,6834,0.031,medium,DS1,evening,True
IG0000029,reel,Technology,118,Friday,5,1,8,2025,10739,13,True,76,2,3,3,3605,4679,0.018,low,DS1,night,False
IG0000030,carousel,Fitness,147,Saturday,11,26,7,2025,3447,12,True,0,5,18,52,8818,10172,0.0074,medium,DS1,morning,True
IG0000031,reel,Comedy,106,Friday,19,25,4,2025,3551,5,False,65,0,10,11,1555,2211,0.0389,medium,DS1,evening,False
IG0000032,image,Food,101,Sunday,7,25,5,2025,6916,4,True,253,0,16,36,5064,7689,0.0397,high,DS1,morning,True
IG0000033,reel,Music,126,Thursday,19,17,4,2025,3551,8,False,56,4,2,10,3493,4286,0.0168,low,DS1,evening,False
IG0000034,carousel,Food,123,Tuesday,4,2,9,2025,7486,9,True,836,21,40,132,12648,19638,0.0524,high,DS1,night,False
IG0000035,image,Technology,95,Monday,20,14,7,2025,4972,6,True,104,3,5,17,2063,2340,0.0551,high,DS1,evening,False
IG0000036,reel,Music,116,Sunday,10,2,2,2025,3083,8,False,607,22,31,78,10668,14021,0.0526,high,DS1,morning,True
IG0000037,reel,Comedy,114,Sunday,1,1,12,2024,7486,5,False,0,6,14,42,15570,17200,0.0036,low,DS1,night,True
IG0000038,carousel,Technology,110,Saturday,7,8,11,2025,6916,6,False,12,0,0,2,623,845,0.0166,low,DS1,morning,True
IG0000039,image,Travel,130,Friday,7,11,4,2025,22291,9,True,927,21,47,151,17275,21598,0.0531,high,DS1,morning,False
IG0000040,image,Fitness,111,Thursday,7,10,7,2025,31095,7,False,197,0,7,36,7200,11331,0.0212,low,DS1,morning,False
IG0000041,image,Comedy,142,Monday,16,25,11,2024,8167,10,True,332,9,13,44,7259,10099,0.0394,high,DS1,afternoon,False
IG0000042,image,Travel,124,Friday,6,24,1,2025,3551,10,True,162,2,4,25,4726,6342,0.0304,medium,DS1,morning,False
IG0000043,reel,Photography,125,Tuesday,2,21,10,2025,13798,10,False,36,1,2,10,2191,3085,0.0159,low,DS1,night,False
IG0000044,carousel,Comedy,93,Monday,0,9,6,2025,15986,2,True,182,10,11,18,2994,4780,0.0462,high,DS1,night,False
IG0000045,image,Photography,141,Saturday,4,28,6,2025,8167,8,False,796,17,36,120,11931,14927,0.0649,viral,DS1,night,True
IG0000046,reel,Music,104,Tuesday,15,29,7,2025,10018,5,False,380,11,18,50,4926,7384,0.0622,viral,DS1,afternoon,False
IG0000047,image,Travel,128,Saturday,3,17,5,2025,3083,5,False,114,1,4,13,1634,2605,0.0507,high,DS1,night,True
IG0000048,carousel,Fitness,131,Sunday,14,8,12,2024,15923,10,True,133,2,12,18,2230,3232,0.0511,high,DS1,afternoon,True
IG0000049,carousel,Technology,115,Wednesday,22,23,7,2025,4972,11,False,109,1,8,12,3106,3478,0.0374,medium,DS1,evening,False
IG0000050,reel,Beauty,144,Tuesday,16,15,4,2025,7486,10,True,149,1,6,26,5481,7116,0.0256,medium,DS1,afternoon,False
IG0000051,reel,Food,122,Wednesday,16,12,3,2025,15986,6,True,166,3,9,27,3436,4009,0.0511,high,DS1,afternoon,False
IG0000052,reel,Fashion,120,Wednesday,12,15,10,2025,4972,8,False,28,2,2,8,2301,3165,0.0126,low,DS1,afternoon,False
IG0000053,image,Fitness,108,Friday,23,9,5,2025,22291,6,True,336,12,14,47,5113,7017,0.0583,viral,DS1,evening,False
IG0000054,image,Travel,129,Tuesday,10,22,4,2025,10034,9,False,273,8,17,41,12214,18325,0.0185,low,DS1,morning,False
IG0000055,carousel,Beauty,115,Wednesday,15,19,2,2025,4542,6,False,154,5,8,23,4566,5996,0.0317,medium,DS1,afternoon,False
IG0000056,reel,Fitness,130,Wednesday,3,23,7,2025,4972,5,False,96,1,4,12,2577,3508,0.0322,medium,DS1,night,False
