post_id,content_type,caption_length,post_day_of_week,post_hour,post_day,post_month,post_year,follower_count,hashtag_count,is_verified,is_paid_partnership,hashtags,like_count,comment_count,engagement_rate,dataset,hashtag_type_mix,time_block,is_weekend
3554806872009530025,Carousel,514,Monday,13,27,1,2025,175740,0,False,False,"['พร้อมส่ง', 'สายฝอ', 'สายฝอพร้อมส่ง', 'สายฝอต้องมี', 'สายฝอต้องห้ามพลาด', 'สายฝรั่ง', 'สายฝอห้ามพลาด', 'สายฝรั่งต้องมี', 'สายฝอแซ่บ']",19,0,0.00010811364451095646,DS2,niche_only,afternoon,False
3705972527580991431,Carousel,300,Sunday,3,24,8,2025,2160,12,False,False,"['ganpatibappamorya', 'ganeshchaturthi', 'festivalvibes', 'traditionallook', 'indianculture', 'devotion', 'ethnicbeauty', 'desivibes', 'festiveseason', 'positivevibes', 'makeupartist', 'graceandtradition']",189,14,0.0939379916705229,DS2,niche_only,night,True
2807459707177171205,Image,653,Saturday,10,2,4,2022,3023,18,False,False,"['ramadan', 'ramadankareem', 'ramadanmubarak', 'fasting', 'islam', 'muslim', 'muslimah', 'puasa', 'digitalart', 'procreate', 'apple', 'ipad', 'picturebook', 'picturebookillustration', 'picturebookart', 'children', 'childrenillustration', 'childrensbooks']",68,0,0.022486772486772486,DS2,niche_only,morning,True
2679164702934045519,Carousel,33,Thursday,10,7,10,2021,2493,0,False,False,[],73,1,0.02967121090617482,DS2,none,morning,False
1290119827343639625,Image,92,Friday,21,8,7,2016,593971,0,True,False,[],397,10,0.0006852174849992929,DS2,none,evening,False
3646071718884331152,Image,282,Monday,12,2,6,2025,29691,8,True,False,"['ponferrada', 'bierzo', 'elbierzo', 'sanidad', 'sanidadpublica', 'atencionprimaria', 'centrosdesalud', 'centrosdesaludrurales']",105,27,0.004445641923750505,DS2,niche_only,afternoon,False
3694290316153933783,Carousel,309,Friday,0,8,8,2025,238049,0,True,False,[],344,3,0.0014576769586221382,DS2,none,night,False
2933316288151603076,Carousel,81,Friday,2,23,9,2022,183974,0,True,False,[],2059,16,0.01127870634597092,DS2,none,night,False
3646841553915115100,Carousel,375,Tuesday,13,3,6,2025,41157,9,True,False,"['royalwedding', 'weddingday', 'weddingphotography', 'bride', 'groom', 'bridaljewellery', 'bridalmakeup', 'bridallehenga', 'wedjoin']",130,0,0.003158559696778269,DS2,niche_only,afternoon,False
3645002384242731346,Reel,196,Sunday,0,1,6,2025,43035,4,True,False,"['countrymusic', 'countrymusicfans', 'newcountrymusic', 'newcountry']",238,2,0.00557672646156706,DS2,niche_only,night,True
