post_id,content_type,video_duration_sec,caption_length,post_day_of_week,post_hour,post_day,post_month,post_year,follower_count,hashtag_count,is_verified,is_paid_partnership,hashtags,like_count,comment_count,view_count,play_count,engagement_rate,dataset,hashtag_type_mix,time_block,is_weekend
3552490146515935254_3160772264,reel,47.066,285,Friday,9,24,1,2025,17200795,6,True,False,"['iitbaba', 'mahakumh', 'prayagraj', 'aajtakcreatorslounge', 'aajtaksocial', 'aajtakatkumbh']",5409,43,91248,362773,0.0003169620754760419,DS3,niche_only,morning,False
3591722649115228590_4217102957,reel,414.52,105,Wednesday,12,19,3,2025,757121,0,True,False,[],2083,25,0,27504,0.002784227640987846,DS3,none,afternoon,False
3576411841204878333,reel,14.933,117,Wednesday,9,26,2,2025,80091,0,True,False,[],,32,9713,29211,,DS3,none,morning,False
3581119297508576430,reel,15.066,13,Tuesday,21,4,3,2025,80091,1,False,False,['core'],27,1,632,1889,0.0003495979623433052,DS3,niche_only,evening,False
3546660432771952803_6673076031,reel,82.0,538,Thursday,8,16,1,2025,13902,10,False,False,"['fyp', 'labuanbajo', 'pesonaindonesia', 'komodonationalpark', 'indonesiajuaratrip', 'komodotrip', 'opentripkomodo', 'padarisland', 'komodoisland', 'komodoisland']",822,13,0,31562,0.06005898007624254,DS3,mixed,morning,False
3579551362929729083,reel,53.166,118,Sunday,17,2,3,2025,80091,0,False,False,[],4,0,127,433,4.99425660490436e-05,DS3,none,afternoon,True
3466205061070790917_4375255849,reel,78.549,160,Friday,8,27,9,2024,99562,1,False,False,"['lionscinema', '獅獅小劇院', '快問快答']",1665,9,9635,46549,0.016813474885248536,DS3,niche_only,morning,False
3494067703975633788_224026195,reel,8.285,14,Monday,18,4,11,2024,242027,0,True,False,[],378,22,3396,20031,0.001652701340340787,DS3,none,evening,False
3463830485279713945,reel,82.803,115,Tuesday,1,24,9,2024,80091,0,True,False,"['รามคำแหง', 'รัฐศาสตร์รามคำแหง', 'ปรัชญา']",,7,329,1822,,DS3,niche_only,night,False
3497167283762591499,reel,29.833,271,Saturday,1,9,11,2024,80091,2,True,False,"['arfirafnialdi', 'bandungkitatanggungjawabkita']",228,11,1163,3240,0.0029840683214303553,DS3,niche_only,night,True
3486772022849392847,reel,14.0,918,Friday,17,25,10,2024,80091,3,True,False,"['investmentbanking', 'wallstreet', 'financecareers']",6803,13,97213,249436,0.08510213254757029,DS3,niche_only,afternoon,False
3779644890075140232_7348498814,reel,6.033,9,Wednesday,19,3,12,2025,16650,0,False,False,[],1077,27,16140,43672,0.06630232418473365,DS3,none,evening,False
3533584965886099531,reel,33.699,704,Sunday,7,29,12,2024,80091,3,False,False,"['bandung', 'kotabandung', 'beritakotabandung']",13425,2379,330195,839237,0.19732307845977126,DS3,niche_only,morning,True
3609817282517757413_2262398396,reel,71.6,234,Sunday,11,13,4,2025,253186,9,True,False,"['fmtnews', 'arthursen', 'junzwong', 'warisan', 'pbs', 'explore', 'explorepage', 'reels', 'fmteng']",16,0,499,3002,6.319439781663355e-05,DS3,mixed,morning,True
3407726412189792825_25230207778,reel,15.366,213,Monday,15,8,7,2024,71711,0,False,False,[],3,26,5539,20368,0.00040439535921463633,DS3,none,afternoon,False
3434500354623284636_3048360342,reel,26.4,135,Wednesday,14,14,8,2024,121316,4,False,False,"['wardrobeorganizer', 'wardrobeessential', 'wardrobebasics', 'wardrobestaples']",286,58,5110,15062,0.0028355465433533636,DS3,niche_only,afternoon,False
3585918120778381934_654917772,reel,34.4,388,Tuesday,12,11,3,2025,31028,6,False,False,"['naturaldiamonds', 'craftsmanship', 'heartdiamond', 'timelessbeauty', 'roughkast', 'hkdiamonds']",87,1,0,2857,0.0028360565922201813,DS3,niche_only,afternoon,False
3633771301728021477,reel,22.9,0,Friday,12,16,5,2025,80091,0,True,False,[],3844,18,176,104957,0.0482195475203516,DS3,none,afternoon,False
3620557174591612691_4326080625,reel,69.766,425,Monday,7,28,4,2025,129212,9,False,False,"['buatjerawatkokcobacoba', 'acne', 'acneclinic', 'acneinstituteclinic', 'klinikjerawat', 'keziaflorenceelevena', 'fyp', 'fypシ', 'foryou']",380,51,806,3909,0.003335577689551361,DS3,mixed,morning,False
3622440159089930751_25035783009,reel,27.366,127,Wednesday,21,30,4,2025,352588,0,False,False,[],1041,7,6313,130493,0.0029722991925442937,DS3,none,evening,False
3609373805152656284_1678398991,reel,11.687,273,Saturday,20,12,4,2025,7778,22,False,False,"['boanoite', 'bomdia🌞', 'bomdia', 'boanoitegalera', 'boanoiteatodos', 'boatardinha', 'fotoviral', 'boanoitinha', 'legado', 'bomdiaboatardeboanoite', 'fé', 'viral', 'explore', 'explorar', 'explorer', 'estilo_js', 'fyl', 'love', 'reelsvideo', 'motivação', 'fyp', 'reels']",1,0,35,163,0.0001285512276642242,DS3,mixed,evening,True
3508968010518207237_56202504843,reel,7.0,135,Monday,7,25,11,2024,487,0,False,False,[],188,0,2732,10496,0.38524590163934425,DS3,none,morning,False
3619442812053495287_1381217295,reel,69.933,202,Saturday,18,26,4,2025,124534,2,True,False,"['zaaponsale', 'zaapsummersale']",51,0,1432,7651,0.00040952342714899425,DS3,niche_only,evening,True
3573459992326745682_40266933760,reel,55.0,132,Saturday,7,22,2,2025,139519,6,False,False,"['happybirthday', 'trending', 'reelsinstagram', 'viral', 'likesforlike', 'family']",3,10,13161,32603,9.317660550458716e-05,DS3,mixed,morning,True
3498281336757149176,reel,23.5,34,Sunday,14,10,11,2024,80091,3,True,False,"['thehouseofcollab', 'risseltv', 'dance']",17,0,112,329,0.00021225590570843529,DS3,niche_only,afternoon,True
3567130146415637641,reel,30.2,224,Thursday,13,13,2,2025,80091,7,True,False,"['radhikamerchant', 'ambani', 'fashion', 'style', 'paparazzi', 'mumbai', 'casuals']",851,3,50062,92172,0.010662737851470809,DS3,niche_only,afternoon,False
3591751334042726729_2949190951,reel,15.133,12,Wednesday,13,19,3,2025,22284,0,False,False,[],231,67,3552,17429,0.01337222346870092,DS3,none,afternoon,False
3605236568001916919,reel,57.566,488,Monday,3,7,4,2025,80091,28,False,False,"['shintaarsinta', 'nikensalindry', 'campursari', 'sindenmodern', 'sindenjawa', 'nembangjawa', 'sinden', 'jawa', 'jawatimur', 'kroncong', 'jawapost', 'ngalam', 'kediri', 'ngapak', 'ngapaklucu', 'sindencantik', 'sindenautoperformance', 'horeg', 'horeg_mania', 'horegmania', 'kiguritnopurbocarito', 'karawitan', 'sindenmilenial', 'musikjawa', 'gamelanasik', 'kroncongmodern', 'lagujawa', 'wayangjawa']",5,0,66,266,6.24282075613045e-05,DS3,niche_only,night,False
3630958744730933499,reel,26.4,77,Monday,15,12,5,2025,80091,0,False,False,[],710,24,139,37262,0.0091644608699995,DS3,none,afternoon,False
3583321530412909487,reel,43.0,1176,Friday,22,7,3,2025,80091,0,False,False,[],379,12,8189,24372,0.004881885831294012,DS3,none,evening,False
3375658711228819297_1922618821,reel,329.766,192,Saturday,9,25,5,2024,23300,0,False,False,"['영웅]', '히어로그']",534,3,0,17703,0.02304622119222351,DS3,niche_only,morning,True
3485916303052858669,reel,63.104,407,Thursday,12,24,10,2024,80091,14,False,False,"['thedimpledway', 'vandanasingh', 'celebritychat', 'lifestories', 'industrygossip', 'actorlife', 'podcastepisode', 'behindthescenes', 'entertainmentinsights', 'priyankasarswat', 'television', 'podcast', 'podcasting', 'podcastersofinstagram']",342,34,2831,8583,0.0046946012086100984,DS3,niche_only,afternoon,False
3480364317742817441_311390477,reel,12.076,49,Wednesday,20,16,10,2024,4952,0,True,False,[],3,18,0,29142,0.004239854633555421,DS3,none,evening,False
3795103717628461257_56195124,reel,10.134,130,Thursday,3,25,12,2025,68685,1,True,False,['kashiecaholiday'],8,0,56,492,0.00011647206126430422,DS3,niche_only,night,False
3603311985760069489,reel,5.333,138,Friday,12,4,4,2025,80091,1,False,False,['ss25'],58,1,1462,9789,0.0007366528492233931,DS3,niche_only,afternoon,False
3551780148283673010_294223236,reel,67.3,371,Thursday,9,23,1,2025,88433,4,True,False,"['jambo...', 'project', 'decentalize', 'campaign']",382,12,0,15356,0.004455299997738426,DS3,niche_only,morning,False
3494532175387559652,reel,47.533,83,Tuesday,10,5,11,2024,80091,3,False,False,"['misslens', 'sisselens', 'คอนแทคเลนส์เกาหลี', 'mgkoc']",565,4,1718,12346,0.007104330020476452,DS3,niche_only,morning,False
3630898339556090021,reel,22.433,1102,Monday,13,12,5,2025,80091,9,True,False,"['builttoexit', 'entrepreneurlife', 'soldthebusiness', 'startupstories', 'lifeafterexit', 'businesswisdom', 'retirednottired', 'purposedriven', 'legacybuilders']",1,0,0,216,1.24856415122609e-05,DS3,niche_only,afternoon,False
3612042496051023188,reel,3608.136,71,Wednesday,13,16,4,2025,80091,0,False,False,[],51,4,930,2964,0.0006867102831743495,DS3,none,afternoon,False
3538774903416426987,reel,28.066,309,Sunday,11,5,1,2025,80091,10,False,False,"['turbobytomaz', 'tomaz', 'streetwear', 'hiphop', 'centralicity', 'shahalam', 'klang', 'malaysia', 'fyp', 'fypシ']",115,6,5412,45600,0.001510762622983569,DS3,mixed,morning,True
3464658470819143934_30276728654,reel,64.464,166,Wednesday,4,25,9,2024,610899,4,True,False,"['udhayanidhistalin', 'pmmodi', 'election2024', 'dailythanthi']",121,1,2906,7137,0.00019970535275822557,DS3,niche_only,night,False
2414118995856614103_5358536248,reel,17.1,676,Tuesday,17,6,10,2020,3434,3,False,False,"['upto7', 'colorfusion', 'shadeseq']",46,4,0,11393,0.01455604075691412,DS3,niche_only,afternoon,False
3598494993838190386_1757770152,reel,319.293,43,Friday,20,28,3,2025,28120,0,False,False,[],21,0,198,973,0.0007467728743643541,DS3,none,evening,False
3629500456059284401_6051183238,reel,22.366,728,Saturday,15,10,5,2025,18567,1,False,False,"['diks', 'женскаяодежда', 'модаказахстан', 'доставкаказахстан', 'стилькаждыйдень']",57,2,236,7369,0.003177509694097372,DS3,niche_only,afternoon,True
3622356362894441197_3043069375,reel,64.874,67,Wednesday,18,30,4,2025,99188,0,False,False,[],2026,230,0,94295,0.022744457550736473,DS3,none,evening,False
3471195468319503635_179255688,reel,4.0,100,Friday,5,4,10,2024,895619,0,True,False,[],3552,21,21108,89092,0.003989415153748241,DS3,none,night,False
3778071816115928968_178930120,reel,71.339,218,Monday,15,1,12,2025,204875,9,True,False,"['strangerthings', 'finnwolfhard', 'noahschnapp', 'calebmclaughlin', 'gatenmatarazzo', 'milliebobbybrown', 'whoevenami', 'mtvmovies', 'mtvasia']",254,1,4763,10412,0.001244655303695894,DS3,niche_only,afternoon,False
3490819017279991104,reel,59.859,99,Thursday,7,31,10,2024,80091,3,True,False,"['서울대', 'n번방', '딥페이크', '성범죄', '음란물', 'kbs', 'kbsnews']",321,18,16009,50674,0.004232632472656445,DS3,niche_only,morning,False
3608526460977283724_2065298466,reel,41.733,493,Friday,16,11,4,2025,42290,0,False,False,[],175,7,2746,10448,0.0043035161145397365,DS3,none,afternoon,False
3731668707392200330_4668980056,reel,16.666,19,Sunday,14,28,9,2025,63698,1,False,False,"['iloveher', '❤️', '🎯', '🥂']",153,8,0,7185,0.002527512205843106,DS3,niche_only,afternoon,True
3430686286610720060_294230666,reel,1.033,49,Friday,7,9,8,2024,730585,0,True,False,[],547,31,8095,28506,0.0007911457378049949,DS3,none,morning,False
3662873505251420724_1623324941,reel,146.633,637,Wednesday,16,25,6,2025,3858,4,False,False,"['maquiaefala', 'blogger', 'motivation', 'foconoobjetivo']",31,16,8,886,0.012179321067634101,DS3,niche_only,afternoon,False
3615737812452994382,reel,38.8,104,Monday,15,21,4,2025,80091,0,False,False,[],345,10,9009,26598,0.004432402736852619,DS3,none,afternoon,False
3379115018313244801_1091600495,reel,40.833,290,Thursday,4,30,5,2024,87788,15,True,False,"['notebook', 'agenda', 'journal', 'journaling', 'study', 'bulletjournal', 'habittracker', 'stationery', 'diy', 'produktif', 'daily', 'catatan', 'brandlokal', 'reels', 'fyp']",3,0,0,351,3.417284625636469e-05,DS3,mixed,night,False
3632509783449565904,reel,62.066,454,Wednesday,18,14,5,2025,80091,0,True,False,[],274,31,24,10460,0.0038081206612395743,DS3,none,evening,False
3544006683691450632_1512973068,reel,42.56,155,Sunday,16,12,1,2025,482121,5,True,False,"['westbengalnews', 'gangasagarmela', 'diamondhorbour', 'fakesaline', 'abpananda']",94,3,1655,4059,0.00020119388868377713,DS3,niche_only,afternoon,True
3559757858718286432,reel,57.933,35,Monday,9,3,2,2025,80091,0,False,False,[],0,1,60,216,1.24856415122609e-05,DS3,none,morning,False
3628169876794884782,reel,20.266,140,Thursday,19,8,5,2025,80091,1,False,False,"['خلیج_فارس', 'خلیج_همیشه_فارس', 'ایران_من', 'خلیج_همیشگی_فارس', 'خلیج_فارس_ایران', 'خلیج_تا_ابد_فارس', 'persin_gulf']",549,24,11,7851,0.007154272586525495,DS3,niche_only,evening,False
3385775689214338401,reel,35.766,48,Saturday,8,8,6,2024,80091,1,False,False,"['혜리하고싶은거다하지마', 'travelblogger', '여행기록']",1717,3,273,875,0.021475303401088747,DS3,niche_only,morning,True
3429766102795206163,reel,109.533,616,Thursday,1,8,8,2024,80091,12,True,False,"['langkawi', 'dcitrinelangkawi', 'property', 'vantagefreeway', 'dcitrine', 'pekankuah', 'propertyinvestment', 'penarak', 'newproperty', 'malaysia', 'langkawiisland', 'penarak']",26,0,818,1870,0.0003246266793187834,DS3,niche_only,night,False
3459080194925605926_1951800478,reel,52.166,846,Tuesday,12,17,9,2024,145231,7,True,False,"['kasuspembunuhan', 'pembunuhankorbansia', 'padangpariaman', 'indraseptriaman', 'penyidikan', 'pelakuresidivis', 'beritamedan']",395,24,10572,22587,0.002885039109838052,DS3,niche_only,afternoon,False
3440387571329987251_5764695551,reel,11.733,218,Thursday,17,22,8,2024,24474,10,False,False,"['nainakayatin♥️', 'reelsinstagram', 'reelsvideo', 'couplegoals', 'couple', 'couplelove', 'foreevertogether', 'viralvideos', 'viralreel', 'love']",247,7,1634,5494,0.0103779366700715,DS3,mixed,afternoon,False
3617990473853354869,reel,21.2,333,Thursday,18,24,4,2025,80091,0,True,False,[],1143,15,8426,37010,0.014458372871198123,DS3,none,evening,False
3469840338761401598_2103219014,reel,31.519,308,Wednesday,8,2,10,2024,160390,13,False,False,"['sharwariwagh', 'celebspotting""', 'sharwariwagh', 'celebspotting', 'bandradiaries', 'fashiongoals', 'viraltv', 'bollywoodglam', 'starstyle', 'celebritysightings', 'bandravibes', 'trending', 'viralbollywood']",36,0,0,4880,0.00022445149665504922,DS3,mixed,morning,False
3779861322100982043_309889814,reel,55.866,94,Thursday,2,4,12,2025,17588,4,False,False,"['loynu', 'loynufootdeodorant', 'footodor', 'footcare']",3,1,64,334,0.00022741486156120302,DS3,niche_only,night,False
3500325809770867021,reel,11.966,296,Wednesday,9,13,11,2024,80091,8,False,False,"['เจมส์จิรายุ', 'ใบเฟิร์นพิมพ์ชนก', 'aejeans', 'americaneagleth', 'jirayu_jj', 'baifernbah', 'jirayu_jjfc', 'jamesjigallery', 'jamesji', 'jamesjirayu', 'เจมส์จิรายุ', 'เจมส์จิ', 'เพจกลุ่มคนรักเจมส์จิ']",59,12,258,386103,0.0008864805473705239,DS3,niche_only,morning,False
3605709101541873746_29323655436,reel,90.1,88,Monday,19,7,4,2025,1037792,6,True,False,"['obras', 'dicas', 'carpintaria', 'macetes', 'juninhocarpinteiro', 'facavocemesmo']",40974,915,314535,682001,0.04036354070609457,DS3,niche_only,evening,False
3494363063963601514,reel,161.533,697,Tuesday,4,5,11,2024,80091,0,True,False,[],1610,18,3686,12962,0.020326624381960746,DS3,none,night,False
